Posizioa,Id,Porralaria,Puntuak
1,9,El divo,1241
2,10,La diva,1241
3,38,solomeoparedes,1186
4,39,sabinsagan2,1179
5,24,alma de cantaro,1169
6,3,quinigol,1168
7,26,bocigas,1167
8,36,j.gorospe,1163
9,30,lazarza,1151
10,23,yakob,1143
11,8,DAMBA,1140
12,37,sabinsagan,1131
13,27,almenara,1124
14,35,pericodelgado,1116
15,13,alacuana,1097
16,20,aizola,1096
17,29,fuente olmedo,1082
18,21,ETXONDOKO,1071
19,18,zaspe,1065
20,17,r a,1049
21,5,Mole,1048
22,33,perseidoporlaley,1040
23,19,patxizena,1029
24,31,peru,1027
25,7,Baiba,1025
26,15,rachi,1010
27,25,puras,1000
28,22,chimy avila,991
29,16,ra1,966
30,42,mikel muñoz,936
31,14,camion,928
32,34,kasdelimon,926
33,2,Luci-masca,900
34,44,goitia,896
35,4,Mochuelo-Alto,876
36,28,aguasal,869
37,1,Porreruek,853
38,12,picorcco,852
39,40,christianoo,812
40,6,MOla,811
41,41,patronn,807
42,43,aitor allatuy,807
43,11,Galfer,624
44,32,dakar,563
